scenario_id,bank_id,scenario_name,scenario_type,framework,temperature_outcome_c,horizon,horizon_year,physical_risk_loss_pct_capital,transition_risk_loss_pct_capital,high_risk_exposure_pct,stranded_assets_estimate_meur,paris_aligned_flag,revenue_at_risk_meur,carbon_price_assumption_eur_per_tco2e,gdp_growth_assumption_pct,renewable_energy_share_pct,technology_readiness,scope_of_analysis,analysis_conducted_year,methodology_notes,resilience_assessment
SCN0001,BANK01,Net Zero 2050,orderly,NGFS_v4,1.5,short_term,2025,5.8,15.6,34.9,9762.6,True,9689.2,86.3,2.22,47.3,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.","Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0002,BANK01,Net Zero 2050,orderly,NGFS_v4,1.5,medium_term,2030,5.3,15.5,15.1,24728.2,True,9214.0,115.8,2.16,50.4,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.","Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0003,BANK01,Net Zero 2050,orderly,NGFS_v4,1.5,long_term,2050,10.3,11.7,34.3,33575.2,True,13225.0,224.6,2.3,83.8,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.","Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0004,BANK01,Below 2°C,orderly,NGFS_v4,1.8,short_term,2025,4.8,12.9,20.3,32879.4,False,24778.0,95.6,2.49,67.9,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Below 2°C (orderly) scenario applied using NGFS IAM outputs aligned to a 1.8°C median temperature pathway. Carbon price trajectory from REMIND-MAgPIE model. Financial impact assessed through loan-level probability of default sensitivity to carbon cost pass-through by sector carbon intensity tier.,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0005,BANK01,Below 2°C,orderly,NGFS_v4,1.8,medium_term,2030,6.4,15.2,10.8,9049.1,False,9311.7,113.8,2.43,54.3,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Below 2°C (orderly) scenario applied using NGFS IAM outputs aligned to a 1.8°C median temperature pathway. Carbon price trajectory from REMIND-MAgPIE model. Financial impact assessed through loan-level probability of default sensitivity to carbon cost pass-through by sector carbon intensity tier.,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0006,BANK01,Below 2°C,orderly,NGFS_v4,1.8,long_term,2050,9.3,14.5,28.4,14265.2,False,20693.8,287.1,2.47,88.8,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Below 2°C (orderly) scenario applied using NGFS IAM outputs aligned to a 1.8°C median temperature pathway. Carbon price trajectory from REMIND-MAgPIE model. Financial impact assessed through loan-level probability of default sensitivity to carbon cost pass-through by sector carbon intensity tier.,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0007,BANK01,Divergent Net Zero,disorderly,NGFS_v4,1.5,short_term,2025,7.0,23.1,18.4,17516.9,False,24225.2,65.9,1.57,54.2,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Divergent Net Zero scenario used to capture technology pathway uncertainty. High renewable share but with divergent sectoral transition speeds across jurisdictions. Carbon price assumptions vary by country based on national ETS and carbon tax trajectories. Used primarily to stress-test technology transition risk in the automotive and energy manufacturing lending sub-portfolio.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0008,BANK01,Divergent Net Zero,disorderly,NGFS_v4,1.5,medium_term,2030,10.2,19.5,5.2,11094.1,False,33095.4,51.5,1.71,41.1,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Divergent Net Zero scenario used to capture technology pathway uncertainty. High renewable share but with divergent sectoral transition speeds across jurisdictions. Carbon price assumptions vary by country based on national ETS and carbon tax trajectories. Used primarily to stress-test technology transition risk in the automotive and energy manufacturing lending sub-portfolio.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0009,BANK01,Divergent Net Zero,disorderly,NGFS_v4,1.5,long_term,2050,14.4,22.0,11.6,18435.1,False,28168.8,68.2,1.67,56.5,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Divergent Net Zero scenario used to capture technology pathway uncertainty. High renewable share but with divergent sectoral transition speeds across jurisdictions. Carbon price assumptions vary by country based on national ETS and carbon tax trajectories. Used primarily to stress-test technology transition risk in the automotive and energy manufacturing lending sub-portfolio.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0010,BANK01,Delayed Transition,disorderly,NGFS_v4,1.8,short_term,2025,6.4,18.3,19.8,24680.2,False,16503.2,77.4,1.11,48.1,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Delayed Transition (disorderly) scenario applied to capture abrupt policy shift risk post-2030. Short-term physical risk assumed at RCP 2.6 level; transition risk shock applied as a step-change in carbon price in 2030. Particularly material for high-carbon sector exposures with medium-term loan maturities.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
